simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9105	9105	0	0.558232	18999	274.461
30	9904	799	0	137.31	2.85327e-08	451.157
60	9991	87	0	136.044	3.79374e-20	451.316
90	10082	91	0	175.222	6.39537e-32	451.59
120	10189	107	0	108.802	3.05559e-43	451.683
150	10298	109	0	90.5896	6.86097e-54	451.688
180	10386	88	0	99.5344	5.17428e-64	451.696
210	10487	101	0	113.763	7.34172e-74	451.705
240	10591	104	0	93.2281	1.32392e-83	451.717
270	10707	116	0	97.9014	2.48386e-93	451.731
300	10851	144	0	85.4671	4.36621e-103	451.744
330	10994	143	0	135.687	6.76472e-113	451.757
360	11178	187	3	91.6452	8.9502e-123	451.77
390	11368	200	10	105.113	1.01136e-132	451.781
420	11573	276	71	116.363	9.60025e-143	451.793
450	11661	303	215	135.088	7.53699e-153	451.805
480	11525	337	473	116.114	4.78584e-163	451.817
510	11261	404	668	114.218	2.40872e-173	451.831
540	10685	388	964	149.257	9.42278e-184	451.847
570	9963	255	977	153.043	2.92202e-194	451.863
600	9505	222	680	117.623	7.18242e-205	451.885
630	9434	312	383	141.523	1.3616e-215	451.909
660	9632	409	211	142.616	1.90157e-226	451.935
690	9711	188	109	126.613	1.97214e-237	451.962
720	9734	71	48	115.023	1.55732e-248	451.989
750	9799	97	32	82.5951	9.49196e-260	452.019
780	9893	112	18	117.377	4.43542e-271	452.051
810	10014	133	12	143.303	1.58159e-282	452.081
840	10156	157	15	117.155	4.28415e-294	452.11
870	10333	192	15	141.223	0	452.137
900	10540	222	15	117.441	0	452.161
930	10756	232	16	118.976	0	452.184
960	11017	271	10	131.663	0	452.208
990	11320	321	18	149.102	0	452.231
1020	11660	356	16	122.382	0	452.253
1050	12108	461	13	113.413	0	452.276
1080	12653	570	25	110.393	0	452.297
1110	13268	628	13	131.26	0	452.319
1140	13960	711	19	206.76	0	452.343
1170	14637	695	18	211.479	0	452.368
1200	15198	575	14	185.574	0	452.397
1230	15644	466	20	152.2	0	452.433
1260	16174	550	20	156.999	0	452.476
1290	16831	678	21	129.071	0	452.521
1320	17272	470	29	181.091	0	452.564
1350	17484	237	25	163.901	0	452.612
