simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9104	9104	0	0.10641	18999	274.461
30	9904	800	0	36.8154	2.83069e-08	451.158
60	9984	80	0	36.8348	3.72805e-20	451.312
90	10079	95	0	36.4231	6.10531e-32	451.595
120	10184	105	0	36.9167	2.94591e-43	451.695
150	10286	102	0	36.0413	6.611e-54	451.696
180	10404	118	0	35.7983	5.18221e-64	451.697
210	10524	120	0	35.6883	7.75113e-74	451.707
240	10621	97	0	35.7733	1.4418e-83	451.719
270	10766	145	0	35.899	2.7382e-93	451.731
300	10911	145	0	36.1174	4.72173e-103	451.744
330	11060	149	0	36.5565	7.22602e-113	451.757
360	11220	166	6	36.6038	9.53198e-123	451.77
390	11405	201	16	36.9011	1.06205e-132	451.782
420	11591	248	62	37.4896	9.93403e-143	451.795
450	11655	279	215	37.6033	7.71185e-153	451.807
480	11620	380	415	38.6922	4.84224e-163	451.82
510	11257	364	727	38.6235	2.40263e-173	451.834
540	10626	324	955	38.1142	9.38286e-184	451.849
570	9947	287	966	37.2651	2.88015e-194	451.868
600	9475	229	701	35.9987	6.89737e-205	451.891
630	9380	306	401	35.59	1.27422e-215	451.914
660	9552	371	199	35.4734	1.74949e-226	451.938
690	9636	188	104	36.7936	1.81116e-237	451.963
720	9697	100	39	36.884	1.45577e-248	451.988
750	9773	106	30	37.0553	9.08311e-260	452.019
780	9901	154	26	36.6178	4.32725e-271	452.052
810	10038	151	14	36.3319	1.56016e-282	452.081
840	10235	213	16	36.6893	4.26447e-294	452.109
870	10407	183	11	36.9782	0	452.135
900	10611	221	17	37.2546	0	452.161
930	10852	260	19	38.1518	0	452.185
960	11127	290	15	38.1361	0	452.208
990	11411	298	14	38.5244	0	452.232
1020	11743	357	25	39.0452	0	452.256
1050	12189	463	17	40.5445	0	452.28
1080	12703	532	18	40.5924	0	452.303
1110	13294	606	15	41.4341	0	452.326
1140	13951	674	17	42.8795	0	452.349
1170	14608	673	16	44.2093	0	452.377
1200	15142	557	23	44.7272	0	452.409
1230	15579	456	19	45.6913	0	452.442
1260	16051	492	20	46.243	0	452.483
1290	16701	668	18	47.4721	0	452.529
1320	17149	473	25	48.6998	0	452.572
1350	17361	240	28	49.9553	0	452.618
1380	17538	205	28	50.2022	0	452.671
1410	17779	260	19	49.3978	0	452.726
1440	18040	286	25	50.5353	0	452.778
1440.02	18066	27	1	0.483557	0	452.778
