simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9094	9094	0	0.0397148	10004.1	349.226
30	9616	522	0	18.9012	9887.3	453.472
60	9649	33	0	18.7079	9886.36	453.531
90	9678	29	0	18.6117	9891.13	453.596
120	9723	45	0	18.554	9901.9	453.622
150	9750	27	0	18.5255	9914.22	453.626
180	9789	39	0	18.5722	9920.92	453.63
210	9831	42	0	18.4634	9922.66	453.635
240	9874	43	0	18.5722	9922.57	453.64
270	9932	58	0	18.4594	9921.35	453.645
300	10001	69	0	18.6161	9919.41	453.651
330	10061	60	0	19.0188	9917.69	453.656
360	10134	77	4	18.5624	9915.44	453.662
390	10225	96	5	18.8901	9912.88	453.666
420	10297	100	28	18.9895	9910.24	453.672
450	10352	114	59	19.2386	9907.77	453.677
480	10381	146	117	19.0588	9904.84	453.682
510	10353	138	166	19.1206	9901.72	453.688
540	10294	167	226	19.1087	9898.09	453.695
570	10120	94	268	19.111	9894.9	453.702
600	10055	103	168	18.9853	9891.6	453.71
630	10133	167	89	19.4262	9887.17	453.72
660	10295	207	45	19.2578	9882.52	453.728
690	10362	95	28	19.3464	9878.75	453.738
720	10385	35	12	19.2616	9875.44	453.749
750	10426	46	5	19.4257	9871.7	453.762
780	10473	50	3	19.231	9867.8	453.774
810	10526	62	9	19.4705	9863.58	453.787
840	10588	69	7	19.5323	9860.02	453.798
870	10653	71	6	19.7407	9857.22	453.807
900	10726	82	9	19.5877	9854.88	453.815
930	10832	112	6	20.047	9852.21	453.822
960	10956	129	5	19.9737	9850.08	453.828
990	11093	143	6	19.9659	9848.27	453.832
1020	11260	173	6	20.1651	9846.32	453.836
1050	11427	175	8	20.4279	9844.46	453.84
1080	11619	207	15	20.5824	9842.1	453.844
1110	11818	213	14	20.5438	9840.33	453.846
1140	12070	255	3	20.4536	9838.3	453.848
1170	12324	258	4	20.5835	9835.94	453.852
1200	12507	192	9	20.9748	9834.4	453.854
1230	12669	169	7	21.4992	9833.1	453.856
1260	12884	224	9	21.2205	9831.1	453.861
1290	13132	258	10	21.312	9829.65	453.864
1320	13303	178	7	21.4312	9828.15	453.868
1350	13368	72	7	21.6364	9827	453.873
1380	13429	71	10	21.6805	9825.4	453.88
1410	13487	65	7	21.7294	9823.75	453.888
1440	13548	71	10	21.8691	9823.06	453.893
1440.02	13558	10	0	0.13191	9823.06	453.893
