simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9093	9093	0	0.102813	10004.1	0
30	9613	520	0	37.1667	9882.22	0
60	9647	34	0	37.8272	9880.79	0
90	9678	31	0	37.8858	9878.37	0
120	9728	50	0	37.9949	9875.7	0
150	9778	50	0	37.818	9872.6	0
180	9828	50	0	38.1425	9870.07	0
210	9893	65	0	38.1074	9867.33	0
240	9977	84	0	38.0991	9864.83	0
270	10063	86	0	38.5453	9863.04	0
300	10167	104	0	38.2378	9860.66	0
330	10308	141	0	38.824	9857.98	0
360	10417	111	2	38.9091	9855.94	0
390	10577	166	6	39.0027	9853.5	0
420	10738	167	6	39.2157	9850.62	0
450	10937	203	4	39.168	9847.99	0
480	11169	240	8	39.618	9844.51	0
510	11419	255	5	39.9193	9842.57	0
540	11668	256	7	40.4302	9839.94	0
570	11829	174	13	40.9218	9838.31	0
600	11971	151	9	41.0178	9835.95	0
630	12160	194	5	41.1516	9832.93	0
660	12461	303	2	41.5964	9829.54	0
690	12576	122	7	42.0983	9829.04	0
720	12634	68	10	42.1525	9827.43	0
750	12687	59	6	42.2277	9825.79	0
780	12775	92	4	42.3873	9823.87	0
810	12835	68	8	42.6395	9822.25	0
840	12925	95	5	42.3567	9820.86	0
870	13020	105	10	42.7436	9819.87	0
900	13125	114	9	42.7744	9818.55	0
930	13254	141	12	43.2805	9816.66	0
960	13400	154	8	44.5803	9815.27	0
990	13576	185	9	44.3943	9814	0
1020	13750	182	8	44.7823	9812.65	0
1050	13957	214	7	45.083	9811.11	0
1080	14192	243	8	45.5877	9809.91	0
1110	14470	295	17	45.7731	9808.18	0
1140	14792	331	9	46.3946	9807.1	0
1170	15095	314	11	46.8553	9805.48	0
1200	15337	253	11	47.4301	9804.05	0
1230	15507	182	12	47.9674	9802.76	0
1260	15760	262	9	47.6578	9800.57	0
1290	16042	298	16	48.0909	9798.54	0
1320	16263	233	12	48.6397	9797.51	0
1350	16363	112	12	48.7647	9796.95	0
1380	16454	95	4	48.8603	9795.62	0
1410	16553	108	9	49.0019	9794.72	0
1440	16651	108	10	48.9085	9792.84	0
1440.02	16660	10	1	0.280473	9792.83	0
