simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9093	9093	0	0.100683	10004.1	349.226
30	9606	513	0	37.4147	9885.14	453.652
60	9640	34	0	37.7398	9883.67	453.716
90	9670	30	0	37.9018	9882.17	453.732
120	9706	36	0	37.662	9880.49	453.741
150	9759	53	0	37.6407	9878.38	453.75
180	9804	45	0	37.6815	9875.66	453.76
210	9870	66	0	38.0485	9872.61	453.77
240	9941	71	0	38.1135	9870.11	453.779
270	10023	82	0	38.0654	9867.39	453.787
300	10124	101	0	38.4442	9864.99	453.794
330	10231	107	0	38.8373	9862.48	453.8
360	10367	137	1	38.6168	9860.05	453.806
390	10502	140	5	38.771	9857.58	453.811
420	10650	154	6	38.9686	9855.04	453.817
450	10842	200	8	39.1055	9852.04	453.822
480	11057	226	11	40.79	9849.35	453.826
510	11311	268	14	39.5377	9845.99	453.831
540	11536	248	23	40.2017	9843.22	453.836
570	11683	172	25	40.5486	9840.65	453.84
600	11812	146	17	40.6554	9838.9	453.845
630	12008	206	10	41.248	9836.66	453.85
660	12302	304	10	41.3608	9833.08	453.856
690	12403	107	6	41.4292	9832.24	453.861
720	12449	56	10	41.6284	9830.45	453.867
750	12500	57	6	41.8394	9829.02	453.874
780	12572	82	10	41.7819	9826.43	453.882
810	12638	74	8	42.2502	9824.56	453.889
840	12744	114	8	42.2219	9823.67	453.893
870	12836	99	7	42.4541	9821.77	453.9
900	12936	104	4	44.248	9820.89	453.904
930	13072	145	9	43.1616	9818.94	453.909
960	13217	151	6	43.5028	9818.34	453.911
990	13379	173	11	43.5237	9816.34	453.915
1020	13571	204	12	44.3288	9815.13	453.917
1050	13768	208	11	44.6999	9813.93	453.92
1080	13992	232	8	45.3576	9812.39	453.922
1110	14278	296	10	46.5382	9810.87	453.923
1140	14583	319	14	45.8236	9809.32	453.923
1170	14898	319	4	46.6321	9807.41	453.924
1200	15143	251	6	46.7639	9805.78	453.927
1230	15346	211	8	47.4941	9804.45	453.929
1260	15568	231	9	47.6045	9802.88	453.933
1290	15851	295	12	48.0083	9801.09	453.935
1320	16070	230	11	48.2732	9800.08	453.938
1350	16157	96	9	48.2724	9798.51	453.943
1380	16233	90	14	48.3654	9797.59	453.949
1410	16315	94	12	48.6377	9796.15	453.955
1440	16402	99	12	48.6503	9794.96	453.961
1440.02	16406	5	1	0.292356	9794.96	453.961
